Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0038877	2729	710	866	477	1752	628	1375	1110	1234	667	893	770	1008.06	1240	777	0.626	-0.675	-3.894	9.85534957616222e-05	0.00258044882846657	0.0209	0.0205	0.0205	0.0205	TRUE	NA
FBgn0005636	906	432	361	240	565	270	456	675	514	336	288	331	433.43	548	318	0.583	-0.778	-3.878	0.000105210911819627	0.00272933291554237	0.0262	0.0264	0.0263	0.0263	TRUE	NA
FBgn0033446	257	77	64	37	101	44	129	120	91	52	52	54	83.03	113	53	0.463	-1.111	-3.868	0.000109934353114651	0.00284311819358779	0	0.0702	0.0447	0.0447	TRUE	NA
FBgn0020762	2420	894	927	653	1847	796	1219	1397	1321	913	942	976	1127.96	1312	944	0.72	-0.475	-3.865	0.000111293073601873	0.00286735931828396	0	0.0201	0.0099	0.0099	TRUE	NA
FBgn0259749	3043	1100	1275	813	1688	966	1533	1719	1817	1137	861	1184	1375.07	1690	1061	0.627	-0.673	-3.847	0.000119460850633349	0.00305204373239322	0.0227	0.0193	0.0212	0.0212	TRUE	NA
FBgn0050069	9629	2281	1729	1158	4513	1149	4850	3565	2464	1620	2301	1408	2701.26	3626	1776	0.503	-0.991	-3.833	0.000126465680107157	0.00319231182330372	0.1001	0.0177	0.0477	0.0477	TRUE	NA
FBgn0036663	14628	6569	6647	4491	10230	4830	7368	10266	9471	6281	5217	5920	7420.52	9035	5806	0.647	-0.628	-3.829	0.000128701169103193	0.00323904345286274	0.0223	0.0167	0.0192	0.0192	TRUE	NA
FBgn0039613	8020	2075	2460	1553	5285	1840	4039	3243	3505	2172	2695	2255	2984.98	3596	2374	0.662	-0.595	-3.818	0.000134383411046363	0.00336197785914505	0.019	0.0176	0.0171	0.0171	TRUE	NA
FBgn0266418	1044	377	409	282	674	311	526	589	583	394	344	381	469.52	566	373	0.659	-0.602	-3.814	0.000136625172748449	0.00340794920545021	0.0042	0.0256	0.0156	0.0156	TRUE	NA
FBgn0001114	91849	29582	32345	24223	49802	27851	46261	46231	46088	33880	25396	34137	38665.47	46193	31138	0.673	-0.572	-3.81	0.000138750824307057	0.00344762596504342	0.015	0.0162	0.0162	0.0162	TRUE	NA
FBgn0261547	1518	572	489	385	947	419	765	894	697	538	483	514	648.37	785	512	0.651	-0.619	-3.803	0.000142717625805974	0.00351828158821687	0.0105	0.023	0.0173	0.0173	TRUE	NA
FBgn0267336	3505	1171	909	710	2150	804	1765	1830	1295	993	1096	985	1327.58	1630	1025	0.63	-0.666	-3.795	0.00014776190835216	0.00359014596344974	0.0234	0.0195	0.0214	0.0214	TRUE	NA
FBgn0262127	8873	2805	2484	2031	5760	2300	4469	4384	3539	2841	2937	2819	3498.19	4131	2866	0.695	-0.525	-3.789	0.000151464941316637	0.00366954287425449	0.0098	0.0174	0.0135	0.0135	TRUE	NA
FBgn0034636	60	22	17	1	15	5	30	34	24	1	8	6	17.33	29	5	0.169	-2.562	-3.784	0.000154215913350516	0.00372548528784584	0	0.2755	0.2134	0.2134	TRUE	NA
FBgn0053181	1017	284	288	197	614	211	512	444	410	276	313	259	368.95	455	283	0.624	-0.68	-3.783	0.000154799777156111	0.00372890548915192	0.0102	0.0283	0.0202	0.0202	TRUE	NA
FBgn0032899	2716	830	1187	629	1693	876	1368	1297	1691	880	863	1074	1195.54	1452	939	0.645	-0.632	-3.772	0.000161940577741669	0.00387875287198866	0.0178	0.0198	0.0192	0.0192	TRUE	NA
FBgn0036196	409	175	188	102	307	106	206	273	268	143	157	130	196.08	249	143	0.581	-0.783	-3.757	0.000172264696223751	0.00406824552902645	0.006	0.039	0.0254	0.0254	TRUE	NA
FBgn0013763	54728	21973	28996	15930	35273	19182	27565	34340	41316	22281	17987	23511	27833.23	34407	21260	0.624	-0.681	-3.747	0.000179285081333752	0.00421045270396898	0.0436	0.0162	0.0237	0.0237	TRUE	NA
FBgn0038595	342	123	146	81	176	91	172	192	208	113	90	112	147.85	191	105	0.547	-0.872	-3.729	0.000192401782748801	0.00448104815015232	0.0105	0.0465	0.0314	0.0314	TRUE	NA
FBgn0033520	66	8	18	0	7	1	33	13	26	0	4	1	12.7	24	2	0.081	-3.634	-3.726	0.000194383851487973	0.00451473898593692	0.5121	0.3702	0.4112	0.4112	TRUE	NA
FBgn0261836	77256	24618	18346	13788	47667	14264	38911	38473	26141	19285	24307	17483	27433.47	34508	20358	0.592	-0.756	-3.722	0.000197744963600921	0.00456763777566949	0.0541	0.0162	0.0297	0.0297	TRUE	NA
FBgn0039209	4689	1424	1223	869	2981	1053	2362	2225	1743	1215	1520	1291	1726	2110	1342	0.637	-0.65	-3.71	0.000207471347785426	0.00477921019994242	0.0263	0.0187	0.0214	0.0214	TRUE	NA
FBgn0033363	188	100	99	44	132	53	95	156	141	62	67	65	97.64	131	65	0.503	-0.991	-3.7	0.000215994084717257	0.00493508435840432	0.0077	0.0621	0.0392	0.0392	TRUE	NA
FBgn0260486	5030	1752	1507	1065	3652	1109	2533	2738	2147	1490	1862	1359	2021.66	2473	1570	0.635	-0.654	-3.69	0.000223912875255136	0.00508843517864165	0.0268	0.0183	0.0221	0.0221	TRUE	NA
FBgn0032400	1549	308	348	173	729	229	780	481	496	242	372	281	441.96	586	298	0.52	-0.943	-3.672	0.000240689963560267	0.00544036751414641	0.0742	0.0262	0.0448	0.0448	TRUE	NA
FBgn0015576	383	135	149	88	249	90	193	211	212	123	127	110	162.76	205	120	0.588	-0.767	-3.663	0.000249410813917586	0.00560742019237111	0	0.0437	0.0245	0.0245	TRUE	NA
