Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0074961	912	507	550	1147	663	829	522	695	725	700	883	905	738.32	647	829	1.289	0.366	4.043	5.28261946858705e-05	0.00124566883436533	0	0.1088	0.0045	0.0045	TRUE	NA
FBtr0078509	1825	825	679	2778	1245	1308	1044	1131	895	1695	1659	1428	1308.6	1023	1594	1.557	0.639	4.041	5.31710177561437e-05	0.00125041586426257	0.0125	0.0655	0.0172	0.0172	TRUE	NA
FBtr0336942	0	0	0	202	5	265	0	0	0	123	7	289	69.88	0	140	754.142	9.559	4.037	5.41477311743855e-05	0.00126825048850113	4.4516	1.0594	3.0371	3.0371	TRUE	NA
FBtr0336677	711	451	385	1403	635	807	407	618	507	856	846	881	685.93	511	861	1.709	0.773	4.036	5.44011594570815e-05	0.00127247597946188	0.016	0.1164	0.0248	0.0248	TRUE	NA
FBtr0086536	27901	13383	14254	29779	20605	25495	15958	18349	18783	18167	27453	27841	21091.92	17697	24487	1.362	0.445	4.027	5.64884060214137e-05	0.00131952676049485	0.0081	0.0129	0.0088	0.0088	TRUE	NA
FBtr0085254	21311	10336	11504	22547	13708	17480	12189	14171	15160	13755	18264	19089	15437.85	13840	17036	1.223	0.29	4.025	5.70607445953816e-05	0.00132933226646941	0.0026	0.0141	0.0037	0.0037	TRUE	NA
FBtr0334586	1766	921	636	2982	1465	1668	1010	1263	838	1819	1952	1822	1450.58	1037	1864	1.798	0.846	4.025	5.70093012146253e-05	0.00132933226646941	0.0264	0.06	0.0311	0.0311	TRUE	NA
FBtr0070723	404	48	48	713	84	132	231	66	63	435	112	144	175.19	120	230	1.945	0.96	4.017	5.89371334782004e-05	0.00137121293456758	0.0036	0.4282	0.0315	0.0315	TRUE	NA
FBtr0335475	887	162	60	3073	408	460	507	222	79	1875	544	502	621.52	269	974	3.548	1.827	4.014	5.9611989652502e-05	0.00138322041502596	0.1493	0.1274	0.1453	0.1453	TRUE	NA
FBtr0345070	149	0	0	719	336	196	85	0	0	439	448	214	197.59	28	367	385.654	8.591	4.013	5.99977324383356e-05	0.00138847342027946	4.0906	0.3807	2.7051	2.7051	TRUE	NA
FBtr0078346	876	173	84	2653	330	418	501	237	111	1618	440	456	560.59	283	838	2.785	1.478	3.997	6.42590264178705e-05	0.00148118755867435	0.0865	0.1403	0.0948	0.0948	TRUE	NA
FBtr0082287	303	129	130	427	235	252	173	177	171	260	313	275	228.38	174	283	1.618	0.694	3.988	6.65952614754121e-05	0.00152695924535596	0	0.3307	0.0171	0.0171	TRUE	NA
FBtr0078919	0	0	0	79	16	18	0	0	0	48	21	20	14.86	0	30	150.842	7.237	3.987	6.69238669779455e-05	0.00153150796200256	0.0321	4.9465	1.3553	1.3553	TRUE	NA
