Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0304683	1068	802	803	662	566	755	611	1100	1058	404	754	824	791.84	923	661	0.707	-0.499	-4.723	2.32448603300067e-06	7.45975941272001e-05	0.0014	0.102	0.0067	0.0067	TRUE	NA
FBtr0333370	17369	28	19	7135	9	9	9934	38	25	4353	12	10	2395.33	3332	1458	0.401	-1.32	-4.719	2.37402060628691e-06	7.6047211553595e-05	0.0246	0.04	0.0296	0.0296	TRUE	NA
FBtr0080618	857	528	592	590	364	433	490	724	780	360	485	473	551.99	665	439	0.669	-0.58	-4.716	2.4052114963067e-06	7.67641310158252e-05	0.0019	0.1423	0.009	0.009	TRUE	NA
FBtr0340709	271	99	134	38	31	50	155	136	177	23	41	55	97.73	156	40	0.242	-2.048	-4.713	2.4389086540954e-06	7.76972983661179e-05	0.0658	0.7601	0.1201	0.1201	TRUE	NA
FBtr0332999	446	35	46	32	0	6	255	48	61	20	0	7	64.96	121	9	0.068	-3.869	-4.709	2.48340045367436e-06	7.86831569195082e-05	0.0241	1.1389	0.3739	0.3739	TRUE	NA
FBtr0078430	64	47	27	0	0	0	37	64	36	0	0	0	22.77	46	0	0.004	-7.996	-4.702	2.57786765664421e-06	8.15279887199311e-05	0.1612	3.2316	1.0726	1.0726	TRUE	NA
FBtr0111027	78	25	96	0	1	0	45	34	127	0	1	0	34.45	69	0	0.005	-7.595	-4.69	2.7295463679109e-06	8.6168614143506e-05	0.6003	2.139	0.882	0.882	TRUE	NA
FBtr0300515	234	121	13	2	0	0	134	166	17	1	0	0	53.01	106	0	0.004	-7.902	-4.672	2.98793841239686e-06	9.36471488748698e-05	1.2895	1.3934	1.3117	1.3117	TRUE	NA
FBtr0084434	506	200	252	258	123	159	289	274	332	157	164	174	231.77	298	165	0.552	-0.857	-4.668	3.03581190784755e-06	9.49767653611336e-05	0	0.326	0.0195	0.0195	TRUE	NA
FBtr0100278	2175	1094	1090	1406	875	977	1244	1500	1436	858	1166	1067	1211.79	1393	1030	0.735	-0.445	-4.66	3.16009842501564e-06	9.86879483052377e-05	0.0017	0.0699	0.0057	0.0057	TRUE	NA
FBtr0339643	7911	3121	3029	3871	361	709	4525	4279	3992	2362	481	774	2735.33	4265	1206	0.227	-2.14	-4.658	3.1989288172459e-06	9.97218847394043e-05	0.1914	0.0362	0.1514	0.1514	TRUE	NA
FBtr0074875	22727	11776	11537	17461	10200	12477	12998	16146	15203	10652	13590	13625	13702.46	14782	12622	0.851	-0.232	-4.651	3.31107261004051e-06	0.000102550176253611	9e-04	0.0147	0.0017	0.0017	TRUE	NA
FBtr0081244	2411	1325	1459	1482	1080	1124	1379	1817	1923	904	1439	1227	1448.12	1706	1190	0.693	-0.53	-4.65	3.31908065000784e-06	0.000102550176253611	0.0045	0.0601	0.0086	0.0086	TRUE	NA
FBtr0071275	2214	906	890	1573	590	803	1266	1242	1173	960	786	877	1050.65	1227	874	0.713	-0.488	-4.64	3.47938136163822e-06	0.000107123144183582	0.0022	0.0792	0.007	0.007	TRUE	NA
